等级,法术名称,派系,施法时间,施法距离,法术成分,持续时间,专注,豁免,仪式,施法材料,法术说明,法术升阶,诗人,牧师,德鲁伊,圣武士,游侠,术士,邪术士,法师
3,Call Lightning 召唤闪电,咒法,1个动作,120尺,V S,10分钟,专注,敏捷,,,"以你头顶正上方100尺你可以看见的一个点为中心召唤出一片60尺半径10尺厚的雷云，如果你看不到头顶100尺，法术失败。    
一束闪电从云端射向射程内你指定的一点，目标点周围5尺范围内的每个生物必须进行敏捷豁免。失败受到3d10闪电伤害，成功半伤。直到法术终止，你可以在你的回合使用动作再次发射闪电，攻击之前选择的点或另选一点。    
如果施法时你身处暴风雨环境的室外，则此法术令你可以控制空中的暴雨云，而非创造一个新的。这种情况下，法术伤害增加１ｄ１０。",每环加1d10伤害,,,德鲁伊,,,,,
2,Calm Emotion 冷静术,附魔,1个动作,60尺,V S,1分钟,专注,,,,"你试图压制目标的强烈感情，选择的射程内目标点20尺半径球体范围内的人形生物过魅力豁免，生物可以主动失败豁免检定。    
检定失败时：你可以压制生物由被魅惑或被恐惧带来的效果且法术结束后如果魅惑或恐惧的效果未失效压制效果继续。    
或者你可以使一名敌对生物变为中立，直至被法术攻击或伤害或看到他的朋友被伤害，法术结束，生物变回敌对。",,诗人,牧师,,,,,,
6,Chain Lightning 连环闪电,塑能,1个动作,150尺,V S M,立即,,敏捷,,一块毛皮；一片琥珀，玻璃，或一个水晶棒；三根银针,"你拉出一道电弧射向射程内你能看见的目标，电弧跳向目标30尺的其他三个生物或物体。    
目标必须进行敏捷豁免，失败受10d8闪电伤害，成功半伤。",每环多跳一个目标,,,,,,术士,,法师
1,Charm Person 魅惑人类,附魔,1个动作,30尺,V S,1小时,,感知,,,你试图魅惑一个射程内你能看见的人形生物。目标过感知豁免，如果正与你或你的同伴战斗，则有优势，失败被你魅惑，直到你或你的同伴作有害于他的事，法术结束。被魅惑的生物视你为友好的熟人，法术结束后他记得被你魅惑过。,每环多一个相互间不超过30尺的目标,诗人,,德鲁伊,,,术士,邪术士,法师
0,Chill Touch 寒冷之触,死灵,1个动作,120尺,V S,1轮,,,,,"你在射程内一个生物的格子里召唤一个骷髅鬼手。作远程法术攻击，让那个生物感受墓穴的寒冷。命中后，鬼手抓在目标身上，目标受1d8暗蚀伤害，在你下一回合开始前无法回复生命值。    
如果你击中一个不死生物，它对你的攻击受劣势直到你的下回合结束。",5级2d8，11级3d8，17级4d8,,,,,,术士,邪术士,法师
1,Chromatic Orb 多彩球,塑能,1个动作,90尺,V S M,立即,,,,价值50g的钻石,你向一个射程内能看到的目标扔一个4寸直径的能量球。你选择酸液、寒冷、火焰、闪电、毒性或者音波作为你能量球的类型，作一次远程法术攻击，命中造成3d8伤害。,每环加1d8伤害,,,,,,术士,,法师
6,Circle of Death 死亡法阵,死灵,1个动作,150尺,V S M,立即,,体质,,价值500g的砸碎的黑珍珠粉,一个半径60尺的负能量球从射程内一点扩散开来。范围内每个生物过体质检定，失败受8d6暗蚀伤害，成功半伤。,每环加2d6伤害,,,,,,术士,邪术士,法师
5,Circle of Power 威力法阵,防护,1个动作,自身,V,10分钟,专注,,,,你身上发出神圣的能量，扭曲和抑制了你周围30尺的魔法能量。这个以你为中心的球形空间随你移动，直到法术结束。持续时间内，范围内的每个友方生物对魔法的豁免有优势，并且对豁免成功受半伤的法术豁免成功不受伤。,,,,,圣武士,,,,
3,Clairvoyance 千里眼/顺风耳,预言,10分钟,1英里,V S M,10分钟,专注,,,价值100g的法器，一个镶宝石的号角或玻璃眼球,"你在范围内你一个熟悉的（你以前去过或见过）或者明显的（如门后面、拐角后面或小树木里）地点创造一个传感器。传感器在法术持续时间内存在，不能互动或被攻击。    
你施法时决定使用听觉或视觉。你透过传感器使用你选择的感观，如同你就在那里。你可以用动作在听觉和视觉间切换。    
能看到传感器的生物（比如受识破隐形或真视术增益的生物）看到一个你拳头大小的发光的无形球体。",,诗人,牧师,,,,术士,,法师
8,Clone 克隆术,死灵,1小时,接触,V S M,立即,,,,法术消耗价值1000g的钻石和1立方寸要被克隆生物的血肉，一个能装下中体型生物并有能密封盖子的容器价值2000g，如大缸，棺材，地下泥封的胞囊，装满盐水的水晶容器。,"这个法术催生出一个有生命生物的无活性复制体作为对抗死亡的防护措施。这个克隆体在一个密封的容器里形成，并在120天后生长到成熟的完全体；你可以选择克隆这个生物的年轻版本。只要容器不被扰动，克隆体保持无活性并存活。    
克隆体成熟后的任何时间，当本体生物死亡时，如果他的灵魂是自由的并同意回归，他的灵魂转移到克隆体。克隆体与本体生物体格完全一致，并拥有同样的人格、记忆和能力，但没有本体生物的装备。因为灵魂已经在别处，本体生物的身体如果在死亡后还存在会变得无活性并在这之后不能被复活。",,,,,,,,,法师
2,Cloud of Daggers 匕首之云,咒法,1个动作,60尺,V S M,1分钟,专注,,,一细条玻璃,你将以射程内一点为中心的5立方尺的空气中充满尖锐的力场匕首，进入或在范围内开始回合的生物受4d4挥砍伤害。,每环加2d4伤害,诗人,,,,,术士,邪术士,法师
5,Cloudkill 死云术,咒法,1个动作,120尺,V S,10分钟,专注,体质,,,"你以射程内一点为中心创造出黄绿色有毒雾气充满半径20尺的球形空间。毒雾可以弥漫过拐角。法术持续到时间结束或毒雾被强风吹散使法术结束。法术范围内视线严重模糊。    
进入或在范围内开始回合的生物过体质豁免，失败受5d8毒性伤害，成功半伤。即使屏住呼吸或不需要呼吸的生物也会受到影响。    
在你每回合开始的时候，毒雾沿地面翻滚远离你10尺。毒雾比空气重，总是向低处移动，甚至会流到洞里。",每环加1d8伤害,,,,,,术士,,法师
1,Color Spray 七彩射线,幻术,1个动作,自身,V S M,1轮,,,,一撮染成红色、黄色和蓝色的粉末或沙子,"一片耀眼的彩色光芒从你的手上闪出。投6d10决定你能影响到的生物的总生命值。以你为源头的15尺锥形空间内，生物按生命值从小到大决定是否受影响（忽略远去知觉和看不见的生物）。    
从影响范围内当前生命值最低的生物开始，被影响的生物目盲直到法术结束。在决定下一个生物是否受影响前，从掷出的总生命值中减去被影响的生物的当前生命值之和。当前生命值小于等于剩余生命总值的生物受到影响。",每环加2d10总值,,,,,,术士,,法师
1,Command 命令术,附魔,1个动作,60尺,V,1轮,,感知,,,"你对一个射程内你能看到的生物说出一个单词的命令。目标过感知检定，失败在它的下一轮服从你的命令。这个法术在目标为不死生物或听不懂你的语言的生物，以及你的命令直接对目标有害时不起作用。    
下面列出一些典型的命令和他们的效果。你可以发出一个与下列不同的命令，DM决定目标的行为，如果目标不服从你的命令，法术结束。    
“过来”目标沿最近最直接的路线向你移动，如果移动到距你5尺内它结束回合。    
“扔掉”目标扔掉手里的东西，结束它的回合。    
“逃跑”目标以最快的办法全力远离你。    
“趴下”目标趴下，结束它的回合。    
“不许动”目标不动。飞着的生物如果可以的话停在空中。如果它滞空必须要移动，它飞行滞空需要的最小距离。",每环多一个相互间不超过30尺的目标,,牧师,,圣武士,,,,
5,Commune with Nature 问道自然,预言,1分钟,自身,V S,立即,,,仪式,,"你暂时的进入了天人合一的境界，并从周围的地域获得知识。在野外，法术提供你周围3英里范围内的土地知识。在洞穴和其他自然地下结构里，半径被限制在300尺。法术在像城镇或地城这些自然被替换或改造的地方无法成功。    
你立刻获得与区域相关的下列主题中你选择的至多3个主题的知识：地形与水体；主要的植物、矿物、动物和人；强大的天界、精类、邪魔、元素或不死生物；其他位面影响的存在；建筑。    
例如，你可以判断出区域内强大的不死生物的位置，主要的安全饮用水源的位置，附近城镇的位置。",,,,德鲁伊,,游侠,,,
5,Commune 通灵术,预言,1分钟,自身,V S M,1分钟,,,仪式,熏香和一小瓶圣水或邪水,"你联系你的神祗或神圣誓言，提三个能用是或非来回答的问题。在法术结束前问的问题可以得到正确答案。    
神圣的存在并不是全知的，所以当问题超出神祗的知识时，你会得到“不清楚”作为答案。当一个词的作案可能曲解或与神祗的意思相反时，DM可以用短语作为答案。 
如果你在下次长休息前使用这个法术两次或更多时，第二次之后的法术有25%几率得不到答案。DM暗投几率。",,,牧师,,,,,,
1,Compelled Duel 强制决斗,附魔,1个附加动作,30尺,V,1分钟,专注,感知,,,你试图强迫一个生物与你决斗。一个射程内你能看到的生物过感知豁免，失败的生物被你决斗的神圣请求强制拖住。在法术持续时间内，生物对除了你以外的人攻击劣势，并且在试图移动到距你30尺外进过感知豁免，豁免成功则他这回合的移动不被法术限制。    如果你攻击其他生物，以其他敌对生物为目标施法，你的友方生物伤害目标或对目标施放了有害法术，或者你在目标30尺外结束你的回合，法术结束。,,,,,圣武士,,,,
1,Comprehend Language 通晓语言,预言,1个动作,自身,V S M,1小时,,,仪式,一撮煤灰和盐,"在法术持续时间内，你明白你听到的话语的字面意思。你同样懂得你看到的写下的字句，但你必须接触到书写文字的表面。读1页文字花费1分钟。    
法术无法解读文字或图形中的秘密信息，比如不属于书写语言的奥术魔印。",,诗人,,,,,术士,邪术士,法师
